tweetdate,compound,neg,neu,pos
2019-01-17,-1.0239,0.7150000000000001,1.823,0.46199999999999997
2019-01-18,1.6988000000000005,1.537,11.379,2.0829999999999997
2019-01-19,-1.1998000000000002,2.689,19.896,2.4130000000000003
2019-01-20,6.3246,1.2530000000000001,20.113,3.636
2019-01-21,8.000200000000001,1.422,18.772999999999996,4.805
2019-01-22,-0.8619000000000002,1.137,10.039,1.8239999999999998
2019-01-23,-2.4335,1.5620000000000003,5.644,0.7949999999999999
2019-01-24,-0.002299999999999802,0.9109999999999999,7.941999999999999,1.146
2019-01-25,0.3218,0.42200000000000004,3.039,0.5389999999999999
2019-01-26,-2.2051,1.525,7.505,0.969
2019-01-27,-3.4593,2.4520000000000004,8.766,0.781
2019-01-28,3.2912,0.43600000000000005,5.317,1.247
2019-01-29,-0.8420000000000001,0.43899999999999995,2.252,0.31
2019-01-30,0.36380000000000046,1.58,8.842,1.5779999999999998
2019-01-31,0.01120000000000021,1.861,13.423,1.7160000000000002
2019-02-01,2.7205999999999997,1.134,9.014000000000001,1.8509999999999998
2019-02-02,0.6588,0.0,0.761,0.239
2019-02-03,2.7329,0.489,4.271,1.238
2019-02-04,0.7777,0.0,0.848,0.152
2019-02-05,2.1049,0.135,3.2640000000000002,0.601
2019-02-06,0.0,0.0,4.0,0.0
2019-02-07,-1.2195000000000005,0.7529999999999999,4.787,0.46
2019-02-08,5.5284,0.848,6.956,2.197
2019-02-09,2.4115,0.877,13.615,1.5099999999999998
2019-02-10,-0.526,1.4899999999999998,11.0,1.512
2019-02-11,-0.2944000000000001,1.377,6.6770000000000005,0.945
2019-02-12,2.5837000000000003,0.088,6.696,1.2149999999999999
2019-02-13,4.5268,0.396,6.605,1.999
2019-02-14,-3.8592999999999997,1.202,7.511000000000001,0.28700000000000003
2019-02-15,0.7543,0.34,4.997999999999999,0.663
2019-02-16,0.0,0.0,2.0,0.0
2019-02-17,-1.0299999999999998,2.2550000000000003,16.144000000000002,1.601
2019-02-18,2.0153,1.256,7.885,2.8600000000000003
2019-02-19,-2.5404,1.7910000000000001,11.504,2.7059999999999995
2019-02-20,-3.145,1.8310000000000002,7.324,0.845
2019-02-21,1.6926,0.525,3.667,0.8069999999999999
2019-02-22,2.0391999999999997,0.818,5.817,1.3650000000000002
2019-02-23,2.3241,0.127,3.736,1.138
2019-02-24,11.24,0.6659999999999999,14.614,3.720000000000001
2019-02-25,7.416599999999999,0.9019999999999999,12.600999999999999,3.497
2019-02-26,1.294,0.20700000000000002,2.9939999999999998,0.8
2019-02-27,0.06730000000000003,1.0699999999999998,11.624,1.3079999999999998
2019-02-28,0.8891,0.0,1.6440000000000001,0.356
2019-03-01,2.5444999999999998,1.048,12.037999999999998,1.916
2019-03-02,4.0814,0.356,6.537,2.107
2019-03-03,-1.6433,1.3050000000000002,6.693000000000001,1.002
2019-03-04,1.7719999999999998,1.748,11.796,2.457
2019-03-05,-1.6013999999999997,3.1500000000000004,12.906,1.944
2019-03-06,-2.6932,1.97,10.332999999999998,0.697
2019-03-07,-1.3920000000000001,0.8570000000000001,3.873,0.27
2019-03-08,4.773800000000001,3.3500000000000005,25.094,5.555999999999999
2019-03-09,1.6566,0.59,9.715000000000002,0.695
2019-03-10,3.5614999999999997,0.43,9.097000000000001,1.4740000000000002
2019-03-11,-0.9782999999999996,1.161,13.122,0.7170000000000001
2019-03-12,0.3095000000000001,0.727,4.42,0.852
2019-03-13,-0.277199999999999,3.3029999999999995,28.372,4.3229999999999995
2019-03-14,0.44309999999999994,1.6600000000000001,9.447,1.891
2019-03-15,-0.45889999999999975,1.213,10.375,1.4100000000000001
2019-03-16,1.309,0.944,17.584000000000003,1.472
2019-03-17,-3.3465,3.9699999999999998,23.651,3.3770000000000002
2019-03-18,3.5881000000000007,0.919,9.8,2.28
2019-03-19,-0.08210000000000017,1.262,8.520999999999999,1.216
2019-03-20,2.6754999999999995,1.0990000000000002,8.176,1.725
2019-03-21,2.9619,0.33,5.218,1.4529999999999998
2019-03-22,4.125500000000001,0.857,11.791,2.3519999999999994
